message,order_type,scrip,price,sl,order_found
 SUPER STOCK - BAJAJ FINANCE 3370👉👉👉👉👉3480+🚀🚀🚀🚀 LOT SIZE - 250 SHARES ALWAYS MOVES UP AFTER MY BUY CALL 25000 RS PROFIT PER LOT RUNNING ONE OF MY FAVOURITE STOCK HOPE YOU ALL ARE MAKING HUGE PROFIT TODAY IN BAJAJ FINANCE REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 SUPER STOCK - BAJAJ FINANCE 3370👉👉👉👉👉3450+🚀🚀🚀🚀 LOT SIZE - 250 SHARES ALWAYS MOVES UP AFTER MY BUY CALL 20000 RS PROFIT PER LOT RUNNING ONE OF MY FAVOURITE STOCK HOPE YOU ALL ARE MAKING HUGE PROFIT TODAY IN BAJAJ FINANCE WOW ROCKED ENOUGH FOR US REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 BUY CEAT @908-910 SL 895 TARGET HOLD, ,"('CEATLTD', 'CEAT LIMITED')",908,895 ,True
 NOTE - ALEMBIC PHARMA 1000👉👉👉👉1128🚀🚀🚀🚀 TODAY MADE LIFE TIME HIGH THOSE WHO HAVE BOUGHT FOR TRADING AT MY BUY CALL NOW NO CHANCE OF LOSS IN ALEMBIC PHARMA BOOK OR TRAIL DEPENDS ON YOUR CHOICE AND RISK TAKING CAPACITY,,,0.0,0.0,False
 SUPER RISKY FOR FURURE PLAYERS BUY BAJAJ FINANCE @3360-3370 SL 3325 TARGET HOLD, SUPER RISKY FOR FURURE PLAYERS ,"('BAJFINANCE', 'BAJAJ FINANCE LIMITED')",3360,3325 ,True
 230+🚀🚀🚀🚀 HOW WAS IT,,,0.0,0.0,False
 ONLY FOR RISKY TRADERS BUY MEGHMANI @69 SL 68 TARGET 70-72-75, ONLY FOR RISKY TRADERS ,"('MEGH', 'MEGHMANI ORGANICS LIMITED.')",69,68 ,True
 AS WE ARE HOLDING MANY SHORT TERM PICK AND MOSTLY 90% ARE IN JACKPOT PROFIT ONLY SO YOU CAN BOOK SOME OF IT IN WHICH YOU ARE GETTING ENOUGH PROFIT,,,0.0,0.0,False
 1660👉👉👉👉1735🚀🚀🚀🚀 NOW NO CHANCE OF LOSS IN IT IF BOUGHT ONLY 100 SHARES THAN ALSO 5000+ RS PROFIT EASILY POSSIBLE WITHOUT RISK,,,0.0,0.0,False
 195👉👉👉👉215🚀🚀🚀🚀 IF BOUGHT ONLY 1000 SHARES THAN ALSO 20000 RS PROFIT EASILY POSSIBLE,,,0.0,0.0,False
 BUY KEI INDUSTRIES @365-366 SL 360 TARGET HOLD, ,"('KEI', 'KEI INDUSTRIES LIMITED.')",365,360 ,True
 LOW RISK HIGH REWARD INTRADAY BUY DFM FOOD @214-215 SL 210 ONLH TARGET HOLD, LOW RISK HIGH REWARD INTRADAY ,"('DFMFOODS', 'DFM FOODS LIMITED')",214,210 ,True
 BUY RANE BRAKE ( RBL ) BUY @565 SL 550 ONLY TARGET BIG POSSIBLE KEEP QUANTITY LOW,,,0.0,0.0,False
 93.5👉👉👉👉96.4🚀🚀🚀🚀 ROCKED NOW TRAIL SL TO 94 IF HOLD THAN 100 ALSO POSSIBLE,,,0.0,0.0,False
 340👉👉👉👉👉349🚀🚀🚀🚀 NO CHANCE OF LOSS,,,0.0,0.0,False
 275👉👉👉👉👉299🚀🚀🚀🚀 JUST IN BTST BUY ONLY THOSE WHO ARE HOLDING ENJOY JACKPOT,,,0.0,0.0,False
 OPENING ABOVE 200 IF SUSTIAN ABOVE 200 THAN TODAY ALSO UPPER CIRCUIT POSSIBLE,,,0.0,0.0,False
 HIGH CHANCE OF JAY BHARAT MARUTI TO OPEN ABOVE 200 JUST KEEP TRAILING YOUR SL AND ENJOY TODAY CIRCUIT FILTER IS ALSO REVISED OF JAY BHARAT MARUTI FROM 5% TO 10% ENJOY,,,0.0,0.0,False
 I HAVE NO PROBLEM ABOUT IT AS WE CAN DO NOTHING FOR IT IT IS JUST FOR YOUR INFORMATION ONLY IT IS A THING TO BE PROUD THAT PEOPLE HAVE MUCH CONFIDENCE AT MY CALL THAT THEY ARE PUTTING MY CALLS AT THIER NAME ALSO,,,0.0,0.0,False
 👆 HERE IT IS 1 MORE PERSON COPYING MY CALLS SO BE CAREFUL ABOUT THIS TYPE OF PEOPLE THERE ARE MANY PEOPLE ALSO DOING THIS TYPE OF THINGS AND MANY OTHER'S ARE RUNNING PAID SERVICE ALSO FOR IT 🤣 BUT HERE YOU ARE GETTING IT FOR FREE IT TAKES MUCH RESEARCH AND HARDWORK TO DO IT SO IF YOU WANT TO SUPPORT OUR CHANNEL THAN KEEP ON ADDING MORE AND MORE MEMBERS YOUR FRIEND OR FAMILY MEMBERS SO THEY CAN ALSO BE SAVED FROM THIS TYPE OF PEOPLE'S WHO ARE COPYING CALLS REST YOUR VIEW IF YOU THINK WHAT I AM SAYING IS RIGHT THAN YOU CAN ADD YOUR FRIENDS OR FAMILY MEMBERS AND BE AWARE THIS IS JUST FOR YOUR INFORMATION ONLY WE CAN DO NOTHING FOR IT ONLY WE CAN DO 1 THING IS TO SUPPORT OUR CHANNEL,,,0.0,0.0,False
 NAN,,,0.0,0.0,False
 NAN,,,0.0,0.0,False
 NAN,,,0.0,0.0,False
 NAN,,,0.0,0.0,False
 NAN,,,0.0,0.0,False
 TORRENT PHARMA 2785👉👉👉2985🚀🚀🚀🚀 JUST IN 2 DAYS ONLY AFTER MY BUY CALL 200 RS UPMOVE CHECK RISK TO REWARD RATIO RISK WAS OF ONLY 15 RS AND REWARD CURRENTLY 200 RS TO THOSE RISKY TRADERS WHO ARE HOLDING IT LOT SIZE - 500 SHARES BIG LOT IF BOUGHT 1 LOT THAN ALSO 1 LAKH RS PROFIT PER LOT RUNNING JUST IN 2 DAYS WHERE DO YOU GET THIS TYPE OF CALLS ?? REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 MARKSANS PHARMA OUR CHAMPION 🏆 STOCK 12👉👉👉👉48🚀🚀🚀🚀 TODAY 4X RETURNS IN 4 MONTHS STILL I AM HOLDING TIGHT FOR MORE UPSIDE HOPE YOU ALL ARE HOLDING IT OR HAVE MADE A MEGA JACKPOT PROFIT IN MARKSANS PHARMA AS I HAVE RECOMMEND AT ALMOST EVERY LEVELS WITH FULL CONVICTION AB KI BAR 50 K PAR TOMORROW WE CAN SEE 50+ LEVELS IT WAS 1 STOCK WHICH CAN CHANGE YOUR LIFE ( EK IDEA JO BADAL DE APKI DUNIYA ) REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 THINGS TO BE NOTED - CAPLIN POINT 450👉👉👉630🚀🚀🚀🚀 JUST IN 3 DAYS ONLY AFTER MY BUY CALL RISK WAS OF ONLY 10 RS AND REWARD UNLIMITED REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 THINGS TO BE NOTED - KOPRAN KOPRAN SUGGESTED AT 24.5 ON 3RD APRIL AFTER THAT GIVEN ALMOST BUY CALL EVERY WEEK ON KOPRAN 24.5👉👉👉👉57🚀🚀🚀🚀🚀 NOW ALL ARE RUNNING BEHIND KOPRAN AT UPPER CIRCUIT TO BUY 🤣 WHERE WERE THEY BEFORE ?? MONEY MORE THAN DOUBLED REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 OUR ADF FOOD SHORT TERM DELIVERY PICK 335👉👉👉365🚀🚀🚀🚀 TILL NOW 10% RETURNS IF BOUGHT ONLY 1000 SHARES THAN ALSO 30000 RS PROFIT EASILY POSSIBLE STILL WE ARE HOLDING TIGHT WITH TRAILING SL CURRENTLY NO ONE IS LOOKING AT ADF FOOD SOON ALL WILL RUN TO BUY IT 😃 LET'S SEE HAPPENS OR NOT BUT NOW NO CHANCE OF LOSS IN ADF FOOD,,,0.0,0.0,False
 OUR SHORT TERM PICK - ALEMBIC PHARMA 1000👉👉👉👉1100+🚀🚀🚀🚀 JUST IN 2 DAYS ONLY STILL MORE UPSIDE LEFT HOLD TIGHT REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
 OUR THIS YEAR LONG TERM PICK - ALEMBIC PHARMA 575👉👉👉👉1100 TILL NOW HOLD TIGHT SOON IT WILL BE DOUBLE FROM OUR COST MAY BE TOMORROW ONLY REMEMBER - ONLY POSSIBLE WITH YOUR FRIEND RAJ DATTANI,,,0.0,0.0,False
