date,open,high,low,close,volume
2021-03-02 00:00:00+05:30,1575.7,1587.5,1551.0,1568.2,8055019
2021-03-03 00:00:00+05:30,1584.0,1596.0,1565.0,1586.85,5611205
2021-03-04 00:00:00+05:30,1548.55,1571.0,1539.1,1552.05,8145719
2021-03-05 00:00:00+05:30,1531.0,1545.6,1521.1,1530.0,8722911
2021-03-08 00:00:00+05:30,1542.0,1555.0,1512.5,1519.5,7558525
2021-03-09 00:00:00+05:30,1545.0,1565.7,1538.25,1562.5,7533348
2021-03-10 00:00:00+05:30,1572.0,1575.0,1552.15,1555.75,5527508
2021-03-12 00:00:00+05:30,1600.0,1600.0,1535.05,1551.95,7815602
2021-03-15 00:00:00+05:30,1548.4,1548.4,1515.3,1528.65,6115242
2021-03-16 00:00:00+05:30,1530.9,1540.4,1510.0,1512.15,6861183
2021-03-17 00:00:00+05:30,1524.25,1539.0,1490.2,1495.35,10532214
2021-03-18 00:00:00+05:30,1511.75,1522.05,1481.15,1491.0,9032770
2021-03-19 00:00:00+05:30,1485.0,1511.2,1474.05,1497.5,10617510
2021-03-22 00:00:00+05:30,1494.9,1494.9,1460.4,1469.15,7007816
2021-03-23 00:00:00+05:30,1470.0,1507.45,1469.1,1500.15,9880714
2021-03-24 00:00:00+05:30,1490.9,1506.45,1471.0,1478.8,8184450
2021-03-25 00:00:00+05:30,1490.2,1495.55,1450.25,1463.35,11982178
2021-03-26 00:00:00+05:30,1494.0,1499.0,1474.0,1491.3,6010629
2021-03-30 00:00:00+05:30,1506.65,1562.55,1501.55,1553.7,12804032
2021-03-31 00:00:00+05:30,1548.0,1548.0,1488.0,1493.65,15387253
2021-04-01 00:00:00+05:30,1499.4,1499.4,1465.0,1486.75,17881881
2021-04-05 00:00:00+05:30,1480.0,1485.0,1431.0,1449.6,8003293
2021-04-06 00:00:00+05:30,1460.0,1462.65,1432.65,1440.25,7537867
2021-04-07 00:00:00+05:30,1439.3,1456.7,1421.55,1447.2,12544090
2021-04-08 00:00:00+05:30,1453.0,1460.9,1430.5,1432.8,8806796
2021-04-09 00:00:00+05:30,1426.0,1432.8,1415.1,1421.75,14078908
2021-04-12 00:00:00+05:30,1393.0,1399.0,1353.0,1367.05,11274564
2021-04-13 00:00:00+05:30,1368.0,1406.45,1361.0,1400.35,9300341
2021-04-15 00:00:00+05:30,1405.0,1436.7,1391.0,1430.1,17222492
2021-04-16 00:00:00+05:30,1434.95,1445.0,1423.5,1428.65,7803263
2021-04-19 00:00:00+05:30,1390.0,1417.7,1372.3,1412.4,12034621
2021-04-20 00:00:00+05:30,1425.0,1426.4,1383.95,1391.4,11593135
2021-04-22 00:00:00+05:30,1380.0,1426.8,1371.05,1422.5,19242656
2021-04-23 00:00:00+05:30,1409.0,1434.6,1400.2,1414.15,11356764
2021-04-26 00:00:00+05:30,1413.0,1429.0,1402.75,1404.8,15085476
2021-04-27 00:00:00+05:30,1407.25,1442.0,1404.8,1438.7,10296453
2021-04-28 00:00:00+05:30,1436.25,1479.0,1431.0,1476.8,12051970
2021-04-29 00:00:00+05:30,1486.2,1503.65,1461.0,1472.5,12039276
2021-04-30 00:00:00+05:30,1445.0,1453.8,1407.5,1412.3,17616451
2021-01-01 00:00:00+05:30,1440.0,1443.0,1420.6,1425.05,4405469
2021-01-04 00:00:00+05:30,1438.0,1438.0,1399.0,1416.0,7870096
2021-01-05 00:00:00+05:30,1419.2,1430.75,1409.0,1426.7,7193412
2021-01-06 00:00:00+05:30,1435.0,1440.0,1413.1,1420.55,11067025
2021-01-07 00:00:00+05:30,1432.5,1432.6,1412.55,1416.25,9947421
2021-01-08 00:00:00+05:30,1432.0,1442.0,1423.1,1431.65,6884382
2021-01-11 00:00:00+05:30,1450.0,1464.9,1436.3,1451.45,8665696
2021-01-12 00:00:00+05:30,1452.45,1487.7,1449.1,1481.0,10194078
2021-01-13 00:00:00+05:30,1492.9,1496.9,1462.1,1470.65,8467325
2021-01-14 00:00:00+05:30,1471.15,1488.0,1456.0,1468.75,6148583
2021-01-15 00:00:00+05:30,1469.1,1471.65,1445.0,1466.65,7082618
2021-01-18 00:00:00+05:30,1469.9,1502.85,1467.0,1483.1,21412816
2021-01-19 00:00:00+05:30,1491.8,1511.65,1467.0,1503.85,8680127
2021-01-20 00:00:00+05:30,1501.0,1501.0,1486.0,1492.0,6673026
2021-01-21 00:00:00+05:30,1492.0,1494.35,1468.15,1474.8,13166527
2021-01-22 00:00:00+05:30,1467.9,1467.9,1440.15,1443.55,7696182
2021-01-25 00:00:00+05:30,1465.1,1481.0,1455.15,1462.85,10172359
2021-01-27 00:00:00+05:30,1468.0,1471.9,1406.15,1409.6,11778138
2021-01-28 00:00:00+05:30,1389.9,1401.3,1342.0,1371.45,21352223
2021-01-29 00:00:00+05:30,1391.35,1408.75,1364.5,1390.5,14352251
2021-02-01 00:00:00+05:30,1410.25,1482.5,1401.0,1476.75,13185272
2021-02-02 00:00:00+05:30,1501.0,1578.5,1497.4,1560.55,21210103
2021-02-03 00:00:00+05:30,1579.0,1581.7,1542.0,1574.8,10118627
2021-02-04 00:00:00+05:30,1566.0,1588.0,1543.45,1579.1,12242342
2021-02-05 00:00:00+05:30,1548.0,1618.25,1548.0,1597.6,13527358
2021-02-08 00:00:00+05:30,1620.0,1631.65,1595.7,1605.25,8723790
2021-02-09 00:00:00+05:30,1610.0,1628.0,1586.7,1611.85,9210683
2021-02-10 00:00:00+05:30,1608.35,1614.85,1567.0,1581.75,9894003
2021-02-11 00:00:00+05:30,1582.0,1597.8,1564.2,1572.35,6824309
2021-02-12 00:00:00+05:30,1573.9,1592.5,1573.0,1581.95,4955053
2021-02-15 00:00:00+05:30,1600.1,1625.0,1596.7,1616.6,5177622
2021-02-16 00:00:00+05:30,1621.2,1641.0,1608.45,1626.65,6948679
2021-02-17 00:00:00+05:30,1620.0,1621.8,1583.0,1586.5,6397213
2021-02-18 00:00:00+05:30,1605.95,1605.95,1548.0,1554.3,7360280
2021-02-19 00:00:00+05:30,1545.0,1564.2,1533.0,1539.1,8569754
2021-02-22 00:00:00+05:30,1545.05,1573.9,1539.45,1548.0,14725919
2021-02-23 00:00:00+05:30,1553.75,1557.7,1522.65,1529.15,9119953
2021-02-24 00:00:00+05:30,1526.5,1613.95,1516.25,1606.45,7157166
2021-02-25 00:00:00+05:30,1609.75,1636.25,1602.0,1606.4,10054785
2021-02-26 00:00:00+05:30,1587.05,1588.9,1521.0,1534.4,13956423
2021-03-01 00:00:00+05:30,1564.0,1572.55,1540.7,1558.9,6768009
2021-03-02 00:00:00+05:30,1575.7,1587.5,1551.0,1568.2,8055019
2020-11-02 00:00:00+05:30,1194.35,1225.0,1177.5,1215.25,10963040
2020-11-03 00:00:00+05:30,1226.45,1250.75,1225.5,1247.95,14082115
2020-11-04 00:00:00+05:30,1252.0,1264.8,1230.0,1257.4,11702411
2020-11-05 00:00:00+05:30,1266.0,1276.0,1252.35,1269.2,10716964
2020-11-06 00:00:00+05:30,1266.25,1310.0,1265.5,1307.65,17852862
2020-11-09 00:00:00+05:30,1315.2,1345.95,1315.2,1340.55,13144220
2020-11-10 00:00:00+05:30,1357.0,1395.0,1351.55,1393.65,20758678
2020-11-11 00:00:00+05:30,1399.9,1414.8,1370.5,1389.95,18058097
